title,answer,img,bogi1,bogi2,bogi3,bogi4
밑줄 그은 ‘이 인물’로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m33.gif?1573301993,윤봉길,이봉창,강우규,김원봉
다음 장면에 해당하는 사건으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m34.gif?1573301993,얄타 회담,카이로 회담,파리 강화 회의,모스크바 3국 외상 회의
(가)에 들어갈 학습 주제로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m36.gif?1573301994,4ㆍ19 혁명,6월 민주 항쟁,6ㆍ10 만세 운동,5ㆍ18 민주화 운동
다음 지역에 대한 학생들의 대화 내용으로 옳지 않은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m37.gif?1573301994,①,②,③,④
(가)에 들어갈 내용으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m38.gif?1573301994,씨름,택견,격구,태권도
다음 장면이 생중계된 시기를 연표에서 옳게 고른 것은?,2,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m39.gif?1573301994,(가),(나),(다),(라)
(가)~(다)를 일어난 순서대로 옳게 나열한 것은?,2,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m40.gif?1573301994,(가)-(나)-(다),(가)-(다)-(나),(나)-(가)-(다),(다)-(가)-(나)
(가) 나라에 대한 설명으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m2.gif?1565613644,위례성을 도읍으로 하였다.,서옥제라는 풍습이 있었다.,제천 행사인 무천이 열렸다.,화백 회의라는 제도가 있었다.
밑줄 그은 ‘이 나라’에 대한 설명으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m3.gif?1565613645,8조법으로 백성을 다스렸다.,낙랑과 왜에 철을 수출하였다.,신분 제도인 골품제가 있었다.,혼인 풍습으로 민며느리제가 있었다.
(가)에 해당하는 인물로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m4.gif?1565613646,원효,의천,지눌,혜심
밑줄 그은 ‘이날’로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m5.gif?1565613646,단오,동지,칠석,한식
선생님의 질문에 대한 학생의 대답으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m6.gif?1565613646,국호를 남부여로 바꿨어요.,신라의 요청으로 왜를 격퇴했어요.,불교를 처음으로 공식 인정했어요.,화랑도를 국가적인 조직으로 정비했어요.
다음 사건이 일어난 시기를 연표에서 옳게 고른 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m7.gif?1565613646,(가),(나),(다),(라)
(가)에 들어갈 문화유산으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m8.gif?1565613646,금산사,부석사,불국사,수덕사
밑줄 그은 ‘이 왕’에 대한 설명으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m9.gif?1565613646,수나라의 침략을 막아냈다.,도읍을 평양성으로 옮겼다.,22담로에 왕족을 파견하였다.,진대법을 처음으로 실시하였다.
(가)~(다)를 일어난 순서대로 옳게 나열한 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m11.gif?1565613644,(가)-(나)-(다),(가)-(다)-(나),(나)-(다)-(가),(다)-(나)-(가)
(가)에 들어갈 용어로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m12.gif?1565613644,당항성,벽란도,울산항,청해진
(가)의 업적으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m13.gif?1565613644,훈요 10조를 남겼다.,한양에 도읍을 정하였다.,노비안검법을 실시하였다.,전민변정도감을 설치하였다.
(가)에 들어갈 내용으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m14.gif?1565613644,동북 9성을 쌓았어.,4군 6진을 개척했어.,강동 6주를 획득했어.,철령 이북의 땅을 되찾았어.
다음 가상 인터뷰에 등장하는 왕의 업적으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m17.gif?1565613644,규장각을 설치하였다.,농사직설을 편찬하였다.,경국대전을 완성하였다.,백두산정계비를 세웠다.
밑줄 그은 ‘나’로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m18.gif?1565613644,논개,김만덕,신사임당,허난설헌
다음 가상 뉴스에서 보도하고 있는 사건으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m19.gif?1565613644,병자호란,임진왜란,삼포왜란,신미양요
다음 퀴즈의 정답으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m22.gif?1565613644,공납,군정,책화,환곡
(가)에 해당하는 인물로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m29.gif?1565613645,김홍집,박규수,신돌석,최익현
다음 대화에 나타난 사건으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m30.gif?1565613645,갑신정변,갑오개혁,아관파천,을사늑약
(가)에 들어갈 내용으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m31.gif?1565613645,지계 발급,농지 개혁법 추진,산미 증식 계획 수립,토지 조사 사업 실시
(가)에 들어갈 학습 주제로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m32.gif?1565613645,신간회,독립 협회,대한민국 임시 정부,조선 건국 준비 위원회
다음 가상 인터뷰의 밑줄 그은 ‘이 운동’으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m33.gif?1565613645,새마을 운동,금 모으기 운동,브나로드 운동,물산 장려 운동
(가)에 들어갈 용어로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m34.gif?1565613645,보안회,의열단,대한 자강회,조선 형평사
(가)~(다)를 일어난 순서대로 옳게 나열한 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m35.gif?1565613646,(가)-(나)-(다),(가)-(다)-(나),(나)-(다)-(가),(다)-(나)-(가)
다음 가상 포스터의 (가)에 해당하는 인물로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m36.gif?1565613646,나운규,방정환,윤동주,이육사
다음 가상 대화가 있었던 시기를 연표에서 옳게 고른 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m38.gif?1565613646,(가),(나),(다),(라)
선생님의 질문에 대한 학생의 대답으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m39.gif?1565613646,①,②,③,④
밑줄 그른 ‘이 인물’로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190810/k320190810m40.gif?1565613646,김대중,김영삼,윤보선,최규하
(가) 나라에 대한 설명으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m2.gif?1562678373,화백 회의를 열었다.,독서삼품과를 실시하였다.,국내성으로 도읍을 옮겼다.,소도라는 신성 구역이 있었다.
(가) 인물의 활동으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m4.gif?1562678375,청해진을 설치하였다.,불국사를 창건하였다.,당의 빈공과에 합격하였다.,안시성 싸움에서 승리하였다.
밑줄 그은 ‘나’의 업적으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m5.gif?1562678375,태학을 설립하였다.,8조법으로 백성을 다스렸다.,지방에 22담로를 설치하였다.,화랑도를 국가 조직으로 만들었다.
(가)에 들어갈 내용으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m6.gif?1562678375,"진포 대첩, 외구 격퇴","기벌포 전투, 당군 격퇴","관산성 전투, 성왕 전사","살수 대첩, 을지문덕 승리"
밑줄 그은 ‘이 나라’에 대한 설명으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m8.gif?1562678375,9주 5조경을 두었다.,위례성을 도읍으로 하였다.,대조영이 동모산에서 건국하였다.,별무반이라는 군대를 조직하였다.
다음 상황이 일어난 시기를 연표에서 옳게 고른 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m12.gif?1562678373,(가),(나),(다),(라)
(가) 왕의 업적으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m13.gif?1562678373,훈요 10조를 남겼다.,"대마도를 정벌하였다,",지방에 12목을 설치하였다.,철령 이북의 땅을 되찾았다.
(가)에 들어갈 인물로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m16.gif?1562678373,이색,일연,문익점,정도전
(가) 인물의 활동으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m17.gif?1562678373,동복 9성을 쌓았다.,4군 6진을 개척하였다.,교정도감을 설치하였다.,황산에서 왜구를 물리쳤다.
다음 학생들이 공통으로 이야기하고 있는 기구로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m18.gif?1562678373,간의,자격루,측우기,앙부일구
(가)에 들어갈 내용으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m19.gif?1562678373,교지,마패,호패,호적
밑줄 그은 ‘직업’으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m23.gif?1562678374,고수,보부상,여리꾼,전기수
(가) 전쟁 중에 있었던 사실로 옳지 않은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m24.gif?1562678374,명나라가 지원군을 파병하였다.,조헌이 금산에서 의병을 이끌었다.,인조가 남한산성으로 피난하였다.,이순신이 한산도 앞바다에서 승리하였다.
(가)~(다)를 일어난 순서대로 옳게 나열한 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m26.gif?1562678374,(가)-(나)-(다),(가)-(다)-(나),(나)-(다)-(가),(다)-(나)-(가)
다음 가상 대화에서 말하고 있는 사건으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m27.gif?1562678374,갑신정변,을미사변,정미의병,아관 파천
다음 특사단이 파견된 배경으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m29.gif?1562678374,간도 협약이 맺어졌다.,을사늑약이 체결되었다.,신탁 통치안이 결정되었다.,조선 총독부가 설치되었다.
(가)에 들어갈 내용으로 적절한 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m30.gif?1562678374,3ㆍ1 운동의 현장을 찾아서,대한 제국의 흔적을 찾아서,한인 애국단의 숨결을 찾아서,6ㆍ10 만세 운동의 발자취를 따라서
(가)에 들어갈 내용으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m32.gif?1562678374,창씨개명을 시행하다.,홍법 14조를 반포하다.,조선 태형령을 시행하다.,토지 조사 사업을 실시하다.
(가)에 들어갈 단체로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m35.gif?1562678374,의열단,홍사단,황국 협회,조선어 학회
학생들이 공통으로 이야기하고 있는 지역을 지도에서 옳게 찾은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m36.gif?1562678374,(가),(나),(다),(라)
(가)에 들어갈 사건으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m38.gif?1562678375,4ㆍ19 혁명,6월 민주 항쟁,부ㆍ마 민주 항쟁,5ㆍ18 민주화 운동
(가)에 들어갈 장소로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190525/k320190525m39.gif?1562678375,광성보,임진각,중명전,판문점
(가)국가에 대한 설명으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m3.gif?1549750837,지방에 22담로를 두었다.,영고라는 제천 행사를 열었다.,신분 제도인 골품제가 있었다.,빈민을 구제하기 위한 진대법이 있었다.
밑줄 그은 ‘나’에 해당하는 인물로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m5.gif?1549750837,의상,의천,일연,혜초
밑줄 그은 ‘이 전투’로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m6.gif?1549750837,관산성 전투,기벌포 전투,안시성 전투,황산벌 전투
학생들이 공통으로 이야기하고 있는 왕으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m7.gif?1549750837,고이왕,진흥왕,근초고왕,소수림왕
(가) 국가에 대한 설명으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m9.gif?1549750838,삼국 통일을 이룩하였다.,노비안검법을 실시하였다.,해동성국이라고도 불렸다.,낙랑과 왜에 철을 수출하였다.
선생님의 질문에 대한 학생의 대답으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m10.gif?1549750835,(가),(나),(다),(라)
다음 학생이 생각하고 있는 인물로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m11.gif?1549750835,견훤,궁예,신검,왕건
다음 학생들이 답사할 지역을 지도에서 옳게 찾은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m14.gif?1549750836,(가),(나),(다),(라)
(가)~(다)의 사건을 일어난 순서대로 옳게 나열한 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m17.gif?1549750836,(가)-(나)-(다),(가)-(다)-(나),(나)-(가)-(다),(나)-(다)-(가)
(가)에 들어갈 내용으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m18.gif?1549750836,신물을 발행함,병든 백성을 치료함,학문 연구를 담당함,군사 훈련을 실시함
밑줄 그은 ‘이 전쟁’으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m19.gif?1549750836,임진왜란,정묘호란,병자호란,임오군란
다음 만화 장면에 해당하는 사건으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m20.gif?1549750836,갑신정변,무신정변,원종과 애노의 난,망이·망소이의 난
(가)에 들어갈 인물로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m21.gif?1549750836,안견,허준,김흥도,신윤복
(가)에 들어갈 왕으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m22.gif?1549750836,광종,태종,선조,영조
(가)에 들어갈 명절로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m23.gif?1549750836,단오,설날,추석,한식
밑줄 그은 ‘나’에 대한 설명으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m24.gif?1549750836,목민심서를 저술하였다.,서경 천도를 주장하였다.,대동여지도를 제작하였다.,통신사로 일본에 다녀왔다.
밑줄 그은 ‘이 종교’로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m25.gif?1549750836,동학,실학,원불교,천주교
(가)에 해당하는 인물로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m26.gif?1549750836,김원봉,안창호,윤봉길,장인환
(가) 단체의 활동으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m27.gif?1549750836,태극 서관을 운영하였다.,만민 공동회를 개최하였다.,헤이그에 특사를 파견하였다.,신흥 무관 학교를 설립하였다.
(가) 조약의 결과로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m28.gif?1549750836,갑오개혁이 실시되었다.,백두산정계비가 세워졌다.,일본에 외교권을 빼앗겼다.,"인천, 원산이 처음으로 개항되었다."
(가)에 들어갈 사건으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m29.gif?1549750836,병인양요,신미양요,나선정벌,아관파천
(가)에 들어갈 활동으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m30.gif?1549750837,서시라는 시를 남겼습니다.,한국 광복군을 창설하였습니다.,삼원보에 신흥 강습소를 설립하였습니다.,"을지문덕전, 이순신전 등의 위인전을 썼습니다."
(가)에 들어갈 근대 시설로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m31.gif?1549750837,광혜원,전환국,배재학당,육영공원
선생님의 질문에 대한 학생의 대답으로 옳지 않은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m32.gif?1549750837,①,②,③,④
밑줄 그은 ‘나’로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m33.gif?1549750837,신돌석,이상설,최익현,홍범도
(가)~(다)를 일어난 순서대로 옳게 나열한 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m36.gif?1549750837,(가)-(나)-(다),(가)-(다)-(나),(나)-(가)-(다),(나)-(다)-(가)
(가)에 들어갈 사건으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m37.gif?1549750837,4·19 혁명,6월 민주 항쟁,5·18 민주화 운동,3선 개헌 반대 운동
(가)에 해당하는 문화유산으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m38.gif?1549750837,승정원일기,새마을 운동 기록물,국채 보상 운동 기록물,KBS 특별생방송 ‘이산가족을 찾습니다’
(가)에 들어갈 내용으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320190126/k320190126m39.gif?1549750837,청산리에서 일본군을 크게 무찌름,하얼빈에서 이토 히로부미를 저격함,서울에서 이완용을 습격하여 부상을 입힘,도쿄에서 일본 국왕을 향해 수류탄을 던짐
(가)에 들어갈 내용으로 가장 적절한 것은?,3,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m1.gif?1540875895,고인돌 덮개돌 끌기,철제 농기구로 밭 일구기,갈판과 갈돌로 곡식 갈기,비파형 동검 모형 만들기
(가) 국가에 대한 설명으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m2.gif?1540875895,위례성을 도읍으로 하였다.,영고라는 제천 행사를 열었다.,골품제라는 신분 제도가 있었다.,건국 이야기가 삼국유사에 실려 있다.
(가)에 해당하는 왕으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m3.gif?1540875896,성왕,온조왕,의자왕,근초고왕
밑줄 그은 ‘이 나라’에 대한 설명으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m6.gif?1540875897,진대법을 실시하였다.,22담로를 설치하였다.,후기 가야 연맹을 주도하였다.,거란의 침입으로 멸망하였다.
(가)에 들어갈 사건으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m8.gif?1540875897,고창 전투,기벌포 전투,안시성 전투,처인성 전투
다음 과정으로 세워진 국가에 대한 설명으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m9.gif?1540875897,9주 5소경을 두었다.,해동성국이라고 불렀다.,통신사를 파견하였다.,노비안검법을 실시하였다.
(가)에 들어갈 내용으로 옳지 않은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m11.gif?1540875895,벽란도를 통해 국제 무역을 하였다.,"나전 칠기, 화문석 등을 수출하였다.",활구라고 불린 은병을 화폐로 사용하였다.,보부상이 전국의 장시를 돌아다니며 활동하였다.
다음 답사 지역을 지도에서 옳게 찾은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m13.gif?1540875895,(가),(나),(다),(라)
다음 장면에 해당하는 사건으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m14.gif?1540875895,만적의 난,묘청의 난,망이·망소이의 난,원종과 애노의 난
다음 탐구 주제에 대한 학생들의 대화 대용으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m16.gif?1540875895,①,②,③,④
밑줄 그은 ‘이 왕’의 업적으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m18.gif?1540875895,균역법을 실시하였다.,집현전을 운영하였다.,경국대전을 완성하였다.,원산 학사를 설치하였다.
밑줄 그은 ‘나’로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m19.gif?1540875895,문익점,이규보,정도전,최치원
밑줄 그은 ‘이 전투’로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m20.gif?1540875895,홍산 전투,진포 대첩,행주 대첩,노량 해전
밑줄 그은‘이 왕’의 업적으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m21.gif?1540875895,탕평비를 세웠다.,장용영을 조직하였다.,우산국을 정벌하였다.,독서삼품과를 실시하였다.
(가)에 들어갈 내용으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m25.gif?1540875896,판소리,별신굿,노동요,남사당놀이
밑줄 그은 ‘이 사람’으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m26.gif?1540875896,김정호,유득공,안용복,최윤덕
(가)에 들어갈 내용으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m27.gif?1540875896,서원 설립의 원인이 되었어요.,운요호 사건이 계기가 되었어요.,성균관 설치의 배경이 되었어요.,금난전권이 폐지되는 결과를 낳았어요.
다음 개혁안을 발표한 시기들 연표에서 옳게 고른 것은?,3,https://img.comcbt.com/cbt/data/k3/k320181027/k320181027m29.gif?1540875896,(가),(나),(다),(라)
